# Format:
# <alias>   = <name>;<link>

w55808a     = 55808 Variant A;
akit        = Adore Rookit;/rootkits/adorew.php
ajakit      = AjaKit Rootkit;
apakit      = aPa Kit Rootkit;
apacheworm  = Apache Worm;
ark         = Ambient Rootkit;
balaur      = Balaur Rootkit 2.0;
beastkit    = Beastkit Rootkit;/rootkits/beastkit.php
bex         = beX2 Rootkit;
bobkit      = BOBkit Rootkit;/rootkits/bobkit.php
cb          = cb Rootkit;
cinik       = CiNIK Worm;
cxkit       = CX Rootkit;
dannyboys   = Danny-Boy's Abuse Kit;
devil       = Devil Rootkit;
dica        = Dica-Kit Rootkit;
dreams      = Dreams Rootkit;
duarawkz    = Duarawkz Rootkit;
enyelkm     = ENYE LKM;
flea        = Flea Linux Rootkit;
freebsd_rk  = FreeBSD Rootkit;
fu          = Fu Rootkit;
fuckit      = Fuckit Rootkit;
gaskit      = GasKit Rootkit;
heroin      = Heroin LKM;
hjckit      = HjC Kit Rootkit;
ignokit     = ignoKit Rootkit;
illogic     = iLLogiC Rootkit;/rootkits/illogic.php
intoxonia   = IntoXonia-NG Rootkit;
irixrk      = Irix Rootkit;
kitko       = Kitko Rootkit;
knark       = Knark Rootkit;/rootkits/knark.php
linuxv      = ld-linuxv.so;
lion        = Lion Worm;/rootkits/lion.php
lockit      = Lockit Rootkit;
mrk         = MRK Rootkit;
moodnt      = Mood-NT Rootkit;
nio         = Ni0 Rootkit;
ohhara      = Ohhara Rootkit;
optickit    = Optic Kit Rootkit;
osxrk       = OSX Rootkit;
oz          = Oz Rootkit;
phalanx     = Phalanx Rootkit;
phalanx2    = Phalanx2 Rootkit;
portacelo   = Portacelo Rootkit;
redstorm    = R3dstorm Toolkit;
rhsharpes   = RH-Sharpe's Rootkit;
rsha        = RSHA's Rootkit;
shutdown    = Shutdown Rootkit;
scalper     = Scalper Worm;
shv4        = SHV4 Rootkit;
shv5        = SHV5 Rootkit;
sinrootkit  = Sin Rootkit;
slapper     = Slapper Worm;
sneakin     = Sneakin Rootkit;
spanish     = Spanish Rootkit;
suckit      = Suckit Rootkit;
nsdap       = NSDAP Rootkit;
sunosrootkit= SunOS Rootkit;
superkit    = Superkit Rootkit;
tbd         = Telnet Backdoor;
telekit     = TeLeKiT Rootkit;
torn        = T0rn Rootkit;/rootkits/torn.php
trnkit      = trNkit Rootkit;
trojanit    = Trojanit Rootkit;
tuxtendo    = Tuxtendo Rootkit;/rootkits/Tuxkit.php
urk         = Universal Rootkit;
vckit       = VcKit Rootkit;
vampire     = Vampire Rootkit;
volc        = Volc Rootkit;
weaponx     = weaponX;
xzibit      = Xzibit Rootkit;
xorgsunos   = X-Org SunOS Rootkit;
zarwt       = zaRwT.KiT Rootkit;
zk          = ZK Rootkit;
login_backdoor = Miscellaneous login backdoors;
suspicious  = Suspicious directories;/rootkits/Suspicious.php
